Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
MH0337_GL0012713	MH0337_GL0012713  [gene]  locus=scaffold68545_1:45998:47182:- [Complete] codon-table.11	MH0337_GL0012713  [gene]  locus=scaffold68545_1:45998:47182:- [Complete] codon-table.11		394		MH0337_GL0012713  [gene]  locus=scaffold68545_1:45998:47182:- [Complete] codon-table.11		17.26	1.0000	0.9990	4	2	1	22	9	8	     0	     0	     0	8M(15.9949)		
MH0338_GL0049524	MH0338_GL0049524  [gene]  locus=scaffold32979_2:801:1808:+ [Complete] codon-table.11	MH0338_GL0049524  [gene]  locus=scaffold32979_2:801:1808:+ [Complete] codon-table.11		335		MH0338_GL0049524  [gene]  locus=scaffold32979_2:801:1808:+ [Complete] codon-table.11		10.75	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0	3C(57.0214), 4C(57.0214)		
MH0339_GL0215019	MH0339_GL0215019  [gene]  locus=scaffold88157_7:179:1000:- [Lack 5'-end] codon-table.11	MH0339_GL0215019  [gene]  locus=scaffold88157_7:179:1000:- [Lack 5'-end] codon-table.11		273		MH0339_GL0215019  [gene]  locus=scaffold88157_7:179:1000:- [Lack 5'-end] codon-table.11		7.33	1.0000	0.9988	2	2	2	6	6	6	     0	     0	     0			
MH0340_GL0132716	MH0340_GL0132716  [gene]  locus=scaffold14357_1:1:765:+ [Lack 5'-end] codon-table.11	MH0340_GL0132716  [gene]  locus=scaffold14357_1:1:765:+ [Lack 5'-end] codon-table.11		254		MH0340_GL0132716  [gene]  locus=scaffold14357_1:1:765:+ [Lack 5'-end] codon-table.11		8.66	1.0000	0.9990	2	2	2	5	5	5	     0	     0	     0	1C(57.0214), 2C(57.0214)		
MH0341_GL0054772	MH0341_GL0054772  [gene]  locus=scaffold28916_3:1:489:+ [Lack 5'-end] codon-table.11	MH0341_GL0054772  [gene]  locus=scaffold28916_3:1:489:+ [Lack 5'-end] codon-table.11		162		MH0341_GL0054772  [gene]  locus=scaffold28916_3:1:489:+ [Lack 5'-end] codon-table.11		16.67	1.0000	0.9990	2	1	2	2	1	2	     0	     0	     0			
MH0341_GL0102431	MH0341_GL0102431  [gene]  locus=scaffold4981_11:3873:5954:- [Complete] codon-table.11	MH0341_GL0102431  [gene]  locus=scaffold4981_11:3873:5954:- [Complete] codon-table.11		693		MH0341_GL0102431  [gene]  locus=scaffold4981_11:3873:5954:- [Complete] codon-table.11		10.10	1.0000	0.9990	4	4	3	13	13	12	     0	     0	     0	4M(15.9949)		
MH0343_GL0015628	MH0343_GL0015628  [gene]  locus=scaffold14462_12:464:862:+ [Complete] codon-table.11	MH0343_GL0015628  [gene]  locus=scaffold14462_12:464:862:+ [Complete] codon-table.11		132		MH0343_GL0015628  [gene]  locus=scaffold14462_12:464:862:+ [Complete] codon-table.11		9.85	1.0000	0.9990	1	1	1	10	10	10	     0	     0	     0	1M(15.9949)		
MH0345_GL0087811	MH0345_GL0087811  [gene]  locus=scaffold81319_3:13945:16572:+ [Complete] codon-table.11	MH0345_GL0087811  [gene]  locus=scaffold81319_3:13945:16572:+ [Complete] codon-table.11		875		MH0345_GL0087811  [gene]  locus=scaffold81319_3:13945:16572:+ [Complete] codon-table.11		17.03	1.0000	0.9990	15	4	5	111	20	26	     0	     0	     0	10C(57.0214), 10M(15.9949), 12M(15.9949), 15M(15.9949), 2M(15.9949), 3C(57.0214), 5C(57.0214), 6C(57.0214), 9M(15.9949)		
MH0348_GL0135260	MH0348_GL0135260  [gene]  locus=scaffold41556_1:101:2164:- [Complete] codon-table.11	MH0348_GL0135260  [gene]  locus=scaffold41556_1:101:2164:- [Complete] codon-table.11		687		MH0348_GL0135260  [gene]  locus=scaffold41556_1:101:2164:- [Complete] codon-table.11		6.70	1.0000	0.9990	3	3	3	14	14	14	     0	     0	     0	10C(57.0214), 11C(57.0214), 11M(15.9949), 14M(15.9949)		
MH0351_GL0006420	MH0351_GL0006420  [gene]  locus=scaffold11286_9:1:1077:+ [Lack 5'-end] codon-table.11	MH0351_GL0006420  [gene]  locus=scaffold11286_9:1:1077:+ [Lack 5'-end] codon-table.11		358		MH0351_GL0006420  [gene]  locus=scaffold11286_9:1:1077:+ [Lack 5'-end] codon-table.11		3.35	1.0000	0.9990	2	2	2	6	6	6	     0	     0	     0			
MH0351_GL0072984	MH0351_GL0072984  [gene]  locus=scaffold45948_2:12376:14103:- [Complete] codon-table.11	MH0351_GL0072984  [gene]  locus=scaffold45948_2:12376:14103:- [Complete] codon-table.11		575		MH0351_GL0072984  [gene]  locus=scaffold45948_2:12376:14103:- [Complete] codon-table.11		7.13	1.0000	0.9990	4	2	2	5	3	3	     0	     0	     0	3C(57.0214)		
MH0354_GL0078014	MH0354_GL0078014  [gene]  locus=C1109777_1:5992:7389:+ [Complete] codon-table.11	MH0354_GL0078014  [gene]  locus=C1109777_1:5992:7389:+ [Complete] codon-table.11		465		MH0354_GL0078014  [gene]  locus=C1109777_1:5992:7389:+ [Complete] codon-table.11		8.39	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
MH0355_GL0148797	MH0355_GL0148797  [gene]  locus=scaffold18455_64:275:976:+ [Complete] codon-table.11	MH0355_GL0148797  [gene]  locus=scaffold18455_64:275:976:+ [Complete] codon-table.11		233		MH0355_GL0148797  [gene]  locus=scaffold18455_64:275:976:+ [Complete] codon-table.11		18.45	1.0000	0.9990	2	1	1	25	12	12	     0	     0	     0	15C(57.0214), 22C(57.0214)		
MH0356_GL0152792	MH0356_GL0152792  [gene]  locus=scaffold19610_3:1:705:+ [Lack 5'-end] codon-table.11	MH0356_GL0152792  [gene]  locus=scaffold19610_3:1:705:+ [Lack 5'-end] codon-table.11		234		MH0356_GL0152792  [gene]  locus=scaffold19610_3:1:705:+ [Lack 5'-end] codon-table.11		7.69	1.0000	0.9990	2	2	2	14	14	14	     0	     0	     0	16M(15.9949), 3M(15.9949), 4M(15.9949)		
MH0358_GL0016713	MH0358_GL0016713  [gene]  locus=scaffold66225_2:1298:2515:- [Lack 5'-end] codon-table.11	MH0358_GL0016713  [gene]  locus=scaffold66225_2:1298:2515:- [Lack 5'-end] codon-table.11		405		MH0358_GL0016713  [gene]  locus=scaffold66225_2:1298:2515:- [Lack 5'-end] codon-table.11		5.43	1.0000	0.9990	1	1	1	2	2	2	     0	     0	     0	7C(57.0214)		
MH0361_GL0166495	MH0361_GL0166495  [gene]  locus=C1030802_1:6759:10136:- [Complete] codon-table.11	MH0361_GL0166495  [gene]  locus=C1030802_1:6759:10136:- [Complete] codon-table.11		1125		MH0361_GL0166495  [gene]  locus=C1030802_1:6759:10136:- [Complete] codon-table.11		1.60	1.0000	0.9990	1	1	1	4	4	4	     0	     0	     0	6M(15.9949)		
MH0365_GL0135523	MH0365_GL0135523  [gene]  locus=scaffold54625_9:2:838:+ [Lack both ends] codon-table.11	MH0365_GL0135523  [gene]  locus=scaffold54625_9:2:838:+ [Lack both ends] codon-table.11		279		MH0365_GL0135523  [gene]  locus=scaffold54625_9:2:838:+ [Lack both ends] codon-table.11		23.66	1.0000	0.9990	4	1	4	26	18	26	     0	     0	     0	10C(57.0214), 12M(15.9949), 13M(15.9949), 15M(15.9949), 17C(57.0214), 5C(57.0214), 6C(57.0214)		
MH0369_GL0026310	MH0369_GL0026310  [gene]  locus=scaffold128997_2:3950:5269:- [Complete] codon-table.11	MH0369_GL0026310  [gene]  locus=scaffold128997_2:3950:5269:- [Complete] codon-table.11		439		MH0369_GL0026310  [gene]  locus=scaffold128997_2:3950:5269:- [Complete] codon-table.11		3.42	1.0000	0.9990	1	1	1	3	3	3	     0	     0	     0			
MH0370_GL0021527	MH0370_GL0021527  [gene]  locus=scaffold87598_1:138:1967:+ [Complete] codon-table.11	MH0370_GL0021527  [gene]  locus=scaffold87598_1:138:1967:+ [Complete] codon-table.11		609		MH0370_GL0021527  [gene]  locus=scaffold87598_1:138:1967:+ [Complete] codon-table.11		1.64	1.0000	0.9990	1	1	1	8	8	8	     0	     0	     0			
MH0370_GL0029760	MH0370_GL0029760  [gene]  locus=scaffold87499_1:1334:2758:+ [Complete] codon-table.11	MH0370_GL0029760  [gene]  locus=scaffold87499_1:1334:2758:+ [Complete] codon-table.11		474		MH0370_GL0029760  [gene]  locus=scaffold87499_1:1334:2758:+ [Complete] codon-table.11		4.22	1.0000	0.9990	1	0	1	5	0	5	     0	     0	     0	15M(15.9949)		V1.CD10-0_GL0028981
MH0371_GL0087622	MH0371_GL0087622  [gene]  locus=scaffold50606_4:2:1222:+ [Lack 5'-end] codon-table.11	MH0371_GL0087622  [gene]  locus=scaffold50606_4:2:1222:+ [Lack 5'-end] codon-table.11		406		MH0371_GL0087622  [gene]  locus=scaffold50606_4:2:1222:+ [Lack 5'-end] codon-table.11		22.91	1.0000	0.9990	5	3	5	18	12	18	     0	     0	     0	10M(15.9949), 11C(57.0214), 16M(15.9949), 1C(57.0214), 3C(57.0214)		
MH0372_GL0033251	MH0372_GL0033251  [gene]  locus=scaffold27170_9:1809:3353:- [Complete] codon-table.11	MH0372_GL0033251  [gene]  locus=scaffold27170_9:1809:3353:- [Complete] codon-table.11		514		MH0372_GL0033251  [gene]  locus=scaffold27170_9:1809:3353:- [Complete] codon-table.11		5.45	1.0000	0.9990	3	1	2	14	4	13	     0	     0	     0	4C(57.0214), 8C(57.0214)		
MH0372_GL0043015	MH0372_GL0043015  [gene]  locus=scaffold80949_2:2174:3628:- [Complete] codon-table.11	MH0372_GL0043015  [gene]  locus=scaffold80949_2:2174:3628:- [Complete] codon-table.11		484		MH0372_GL0043015  [gene]  locus=scaffold80949_2:2174:3628:- [Complete] codon-table.11		13.43	1.0000	0.9990	4	3	2	14	8	6	     0	     0	     0	16C(57.0214)		
MH0373_GL0081818	MH0373_GL0081818  [gene]  locus=scaffold14087_9:1996:3870:- [Complete] codon-table.11	MH0373_GL0081818  [gene]  locus=scaffold14087_9:1996:3870:- [Complete] codon-table.11		624		MH0373_GL0081818  [gene]  locus=scaffold14087_9:1996:3870:- [Complete] codon-table.11		4.81	1.0000	0.9986	2	0	2	3	0	3	     0	     0	     0	11C(57.0214), 3M(15.9949), 4C(57.0214)		MH0434_GL0192239
MH0373_GL0112954	MH0373_GL0112954  [gene]  locus=scaffold34309_4:2476:4569:+ [Complete] codon-table.11	MH0373_GL0112954  [gene]  locus=scaffold34309_4:2476:4569:+ [Complete] codon-table.11		697		MH0373_GL0112954  [gene]  locus=scaffold34309_4:2476:4569:+ [Complete] codon-table.11		6.46	1.0000	0.9990	3	3	3	9	9	9	     0	     0	     0	10C(57.0214), 16M(15.9949)		
MH0373_GL0116967	MH0373_GL0116967  [gene]  locus=scaffold58922_2:697:1719:- [Complete] codon-table.11	MH0373_GL0116967  [gene]  locus=scaffold58922_2:697:1719:- [Complete] codon-table.11		340		MH0373_GL0116967  [gene]  locus=scaffold58922_2:697:1719:- [Complete] codon-table.11		7.65	1.0000	0.9990	2	1	2	4	1	4	     0	     0	     0			
MH0376_GL0120645	MH0376_GL0120645  [gene]  locus=scaffold94997_1:8094:9095:- [Complete] codon-table.11	MH0376_GL0120645  [gene]  locus=scaffold94997_1:8094:9095:- [Complete] codon-table.11		333		MH0376_GL0120645  [gene]  locus=scaffold94997_1:8094:9095:- [Complete] codon-table.11		11.41	1.0000	0.9990	3	2	2	4	2	3	     0	     0	     0			
MH0381_GL0118587	MH0381_GL0118587  [gene]  locus=scaffold66542_1:3:1802:+ [Lack 5'-end] codon-table.11	MH0381_GL0118587  [gene]  locus=scaffold66542_1:3:1802:+ [Lack 5'-end] codon-table.11		599		MH0381_GL0118587  [gene]  locus=scaffold66542_1:3:1802:+ [Lack 5'-end] codon-table.11		11.52	1.0000	0.9990	6	3	5	18	14	17	     0	     0	     0	12C(57.0214), 5C(57.0214)		
MH0381_GL0148015	MH0381_GL0148015  [gene]  locus=scaffold30895_1:18549:19736:+ [Complete] codon-table.11	MH0381_GL0148015  [gene]  locus=scaffold30895_1:18549:19736:+ [Complete] codon-table.11		395		MH0381_GL0148015  [gene]  locus=scaffold30895_1:18549:19736:+ [Complete] codon-table.11		11.14	1.0000	0.9990	3	3	3	5	5	5	     0	     0	     0	6C(57.0214)		
MH0385_GL0030117	MH0385_GL0030117  [gene]  locus=C1778906_1:116:1327:- [Lack 5'-end] codon-table.11	MH0385_GL0030117  [gene]  locus=C1778906_1:116:1327:- [Lack 5'-end] codon-table.11		403		MH0385_GL0030117  [gene]  locus=C1778906_1:116:1327:- [Lack 5'-end] codon-table.11		21.34	1.0000	0.9990	6	4	5	29	16	18	     0	     0	     0	15M(15.9949), 8M(15.9949)		
MH0385_GL0206702	MH0385_GL0206702  [gene]  locus=scaffold124732_1:1128:3749:- [Complete] codon-table.11	MH0385_GL0206702  [gene]  locus=scaffold124732_1:1128:3749:- [Complete] codon-table.11		873		MH0385_GL0206702  [gene]  locus=scaffold124732_1:1128:3749:- [Complete] codon-table.11		6.30	1.0000	0.9990	4	1	4	7	3	7	     0	     0	     0	4M(15.9949), 9C(57.0214)		
MH0389_GL0025499	MH0389_GL0025499  [gene]  locus=scaffold117422_1:4746:6836:- [Complete] codon-table.11	MH0389_GL0025499  [gene]  locus=scaffold117422_1:4746:6836:- [Complete] codon-table.11		696		MH0389_GL0025499  [gene]  locus=scaffold117422_1:4746:6836:- [Complete] codon-table.11		7.18	1.0000	0.9990	3	3	2	15	15	13	     0	     0	     0	17C(57.0214)		
MH0389_GL0029301	MH0389_GL0029301  [gene]  locus=scaffold13915_4:92:382:+ [Complete] codon-table.11	MH0389_GL0029301  [gene]  locus=scaffold13915_4:92:382:+ [Complete] codon-table.11		96		MH0389_GL0029301  [gene]  locus=scaffold13915_4:92:382:+ [Complete] codon-table.11		13.54	1.0000	0.9990	1	1	1	4	4	4	     0	     0	     0			
MH0389_GL0063168	MH0389_GL0063168  [gene]  locus=scaffold40641_5:2038:2295:- [Complete] codon-table.11	MH0389_GL0063168  [gene]  locus=scaffold40641_5:2038:2295:- [Complete] codon-table.11		85		MH0389_GL0063168  [gene]  locus=scaffold40641_5:2038:2295:- [Complete] codon-table.11		20.00	1.0000	0.9990	1	1	1	7	7	7	     0	     0	     0	10C(57.0214)		
MH0389_GL0082784	MH0389_GL0082784  [gene]  locus=scaffold71788_3:1:555:- [Lack 3'-end] codon-table.11	MH0389_GL0082784  [gene]  locus=scaffold71788_3:1:555:- [Lack 3'-end] codon-table.11		185		MH0389_GL0082784  [gene]  locus=scaffold71788_3:1:555:- [Lack 3'-end] codon-table.11		8.65	1.0000	0.9990	1	1	1	4	4	4	     0	     0	     0			
MH0389_GL0130251	MH0389_GL0130251  [gene]  locus=scaffold118556_1:6443:6964:- [Complete] codon-table.11	MH0389_GL0130251  [gene]  locus=scaffold118556_1:6443:6964:- [Complete] codon-table.11		173		MH0389_GL0130251  [gene]  locus=scaffold118556_1:6443:6964:- [Complete] codon-table.11		30.64	1.0000	0.9990	4	3	3	15	6	14	     0	     0	     0			
MH0389_GL0154539	MH0389_GL0154539  [gene]  locus=scaffold109700_1:1267:1998:+ [Lack 3'-end] codon-table.11	MH0389_GL0154539  [gene]  locus=scaffold109700_1:1267:1998:+ [Lack 3'-end] codon-table.11		244		MH0389_GL0154539  [gene]  locus=scaffold109700_1:1267:1998:+ [Lack 3'-end] codon-table.11		13.52	1.0000	0.9990	3	2	2	9	5	5	     0	     0	     0			
MH0389_GL0174798	MH0389_GL0174798  [gene]  locus=scaffold56763_2:592:4416:+ [Complete] codon-table.11	MH0389_GL0174798  [gene]  locus=scaffold56763_2:592:4416:+ [Complete] codon-table.11		1274		MH0389_GL0174798  [gene]  locus=scaffold56763_2:592:4416:+ [Complete] codon-table.11		9.50	1.0000	0.9990	8	6	7	23	18	22	     0	     0	     0	1C(57.0214)		
MH0390_GL0125747	MH0390_GL0125747  [gene]  locus=scaffold69887_2:1:555:+ [Lack both ends] codon-table.11	MH0390_GL0125747  [gene]  locus=scaffold69887_2:1:555:+ [Lack both ends] codon-table.11		185		MH0390_GL0125747  [gene]  locus=scaffold69887_2:1:555:+ [Lack both ends] codon-table.11		6.49	1.0000	0.9989	2	1	1	9	3	3	     0	     0	     0	9M(15.9949)		
MH0390_GL0194280	MH0390_GL0194280  [gene]  locus=scaffold34310_1:1:957:+ [Lack 5'-end] codon-table.11	MH0390_GL0194280  [gene]  locus=scaffold34310_1:1:957:+ [Lack 5'-end] codon-table.11		318		MH0390_GL0194280  [gene]  locus=scaffold34310_1:1:957:+ [Lack 5'-end] codon-table.11		4.40	1.0000	0.9990	1	0	1	2	0	2	     0	     0	     0	4C(57.0214)		O2.UC37-1_GL0022901
MH0394_GL0018582	MH0394_GL0018582  [gene]  locus=scaffold79957_1:118:663:- [Complete] codon-table.11	MH0394_GL0018582  [gene]  locus=scaffold79957_1:118:663:- [Complete] codon-table.11		181		MH0394_GL0018582  [gene]  locus=scaffold79957_1:118:663:- [Complete] codon-table.11		33.70	1.0000	0.9990	5	2	2	17	4	4	     0	     0	     0	14M(15.9949)		
MH0402_GL0025865	MH0402_GL0025865  [gene]  locus=scaffold55774_20:5254:6702:+ [Lack 3'-end] codon-table.11	MH0402_GL0025865  [gene]  locus=scaffold55774_20:5254:6702:+ [Lack 3'-end] codon-table.11		483		MH0402_GL0025865  [gene]  locus=scaffold55774_20:5254:6702:+ [Lack 3'-end] codon-table.11		10.14	1.0000	0.9990	4	4	4	8	8	8	     0	     0	     0	8M(15.9949)		
MH0407_GL0040794	MH0407_GL0040794  [gene]  locus=scaffold18621_8:212:3301:+ [Complete] codon-table.11	MH0407_GL0040794  [gene]  locus=scaffold18621_8:212:3301:+ [Complete] codon-table.11		1029		MH0407_GL0040794  [gene]  locus=scaffold18621_8:212:3301:+ [Complete] codon-table.11		6.41	1.0000	0.9990	4	4	3	19	19	18	     0	     0	     0			
MH0407_GL0127135	MH0407_GL0127135  [gene]  locus=scaffold39803_3:6517:9774:- [Complete] codon-table.11	MH0407_GL0127135  [gene]  locus=scaffold39803_3:6517:9774:- [Complete] codon-table.11		1085		MH0407_GL0127135  [gene]  locus=scaffold39803_3:6517:9774:- [Complete] codon-table.11		4.15	1.0000	0.9990	3	3	2	6	6	5	     0	     0	     0	13M(15.9949), 2C(57.0214)		
MH0409_GL0027800	MH0409_GL0027800  [gene]  locus=scaffold30802_2:1498:2244:+ [Complete] codon-table.11	MH0409_GL0027800  [gene]  locus=scaffold30802_2:1498:2244:+ [Complete] codon-table.11		248		MH0409_GL0027800  [gene]  locus=scaffold30802_2:1498:2244:+ [Complete] codon-table.11		5.65	1.0000	0.9990	2	1	2	6	5	6	     0	     0	     0			
MH0415_GL0161389	MH0415_GL0161389  [gene]  locus=scaffold31846_17:2:2350:- [Lack 3'-end] codon-table.11	MH0415_GL0161389  [gene]  locus=scaffold31846_17:2:2350:- [Lack 3'-end] codon-table.11		783		MH0415_GL0161389  [gene]  locus=scaffold31846_17:2:2350:- [Lack 3'-end] codon-table.11		3.19	1.0000	0.9990	3	2	2	10	4	4	     0	     0	     0			
MH0415_GL0240971	MH0415_GL0240971  [gene]  locus=scaffold132678_4:82788:86489:- [Complete] codon-table.11	MH0415_GL0240971  [gene]  locus=scaffold132678_4:82788:86489:- [Complete] codon-table.11		1233		MH0415_GL0240971  [gene]  locus=scaffold132678_4:82788:86489:- [Complete] codon-table.11		1.70	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0			
MH0421_GL0021620	MH0421_GL0021620  [gene]  locus=scaffold140292_1:682:1299:+ [Complete] codon-table.11	MH0421_GL0021620  [gene]  locus=scaffold140292_1:682:1299:+ [Complete] codon-table.11		205		MH0421_GL0021620  [gene]  locus=scaffold140292_1:682:1299:+ [Complete] codon-table.11		20.00	1.0000	0.9990	4	2	2	8	4	4	     0	     0	     0	12C(57.0214), 4C(57.0214)		
MH0421_GL0080121	MH0421_GL0080121  [gene]  locus=scaffold150013_2:2:958:- [Lack 3'-end] codon-table.11	MH0421_GL0080121  [gene]  locus=scaffold150013_2:2:958:- [Lack 3'-end] codon-table.11		319		MH0421_GL0080121  [gene]  locus=scaffold150013_2:2:958:- [Lack 3'-end] codon-table.11		13.17	1.0000	0.9983	3	1	1	14	8	8	     0	     0	     0	11M(15.9949)		
MH0422_GL0145500	MH0422_GL0145500  [gene]  locus=scaffold64184_7:524:949:+ [Complete] codon-table.11	MH0422_GL0145500  [gene]  locus=scaffold64184_7:524:949:+ [Complete] codon-table.11		141		MH0422_GL0145500  [gene]  locus=scaffold64184_7:524:949:+ [Complete] codon-table.11		19.86	1.0000	0.9990	2	1	1	4	3	3	     0	     0	     0			
MH0430_GL0056455	MH0430_GL0056455  [gene]  locus=scaffold4018_1:856:3435:- [Complete] codon-table.11	MH0430_GL0056455  [gene]  locus=scaffold4018_1:856:3435:- [Complete] codon-table.11		859		MH0430_GL0056455  [gene]  locus=scaffold4018_1:856:3435:- [Complete] codon-table.11		6.64	1.0000	0.9990	3	3	3	5	5	5	     0	     0	     0			
MH0432_GL0032032	MH0432_GL0032032  [gene]  locus=scaffold579_2:3:1316:+ [Lack 5'-end] codon-table.11	MH0432_GL0032032  [gene]  locus=scaffold579_2:3:1316:+ [Lack 5'-end] codon-table.11		437		MH0432_GL0032032  [gene]  locus=scaffold579_2:3:1316:+ [Lack 5'-end] codon-table.11		4.58	1.0000	0.9956	2	2	2	3	3	3	     0	     0	     0	9C(57.0214)		
MH0433_GL0173376	MH0433_GL0173376  [gene]  locus=scaffold61490_6:441:1466:+ [Complete] codon-table.11	MH0433_GL0173376  [gene]  locus=scaffold61490_6:441:1466:+ [Complete] codon-table.11		341		MH0433_GL0173376  [gene]  locus=scaffold61490_6:441:1466:+ [Complete] codon-table.11		7.92	1.0000	0.9990	2	2	2	14	14	14	     0	     0	     0			
MH0434_GL0217453	MH0434_GL0217453  [gene]  locus=scaffold76079_4:1:543:- [Lack both ends] codon-table.11	MH0434_GL0217453  [gene]  locus=scaffold76079_4:1:543:- [Lack both ends] codon-table.11		181		MH0434_GL0217453  [gene]  locus=scaffold76079_4:1:543:- [Lack both ends] codon-table.11		6.08	1.0000	0.9990	1	1	1	3	3	3	     0	     0	     0	2M(15.9949)		
MH0437_GL0149308	MH0437_GL0149308  [gene]  locus=scaffold91845_9_1:15232:18006:+ [Complete] codon-table.11	MH0437_GL0149308  [gene]  locus=scaffold91845_9_1:15232:18006:+ [Complete] codon-table.11		924		MH0437_GL0149308  [gene]  locus=scaffold91845_9_1:15232:18006:+ [Complete] codon-table.11		16.13	1.0000	0.9990	12	5	4	62	6	5	     0	     0	     0	11M(15.9949), 12M(15.9949), 15M(15.9949), 2C(57.0214), 3C(57.0214)		
MH0437_GL0266761	MH0437_GL0266761  [gene]  locus=scaffold6939_2:1085:3607:- [Complete] codon-table.11	MH0437_GL0266761  [gene]  locus=scaffold6939_2:1085:3607:- [Complete] codon-table.11		840		MH0437_GL0266761  [gene]  locus=scaffold6939_2:1085:3607:- [Complete] codon-table.11		1.19	1.0000	0.9990	1	0	1	8	0	8	     0	     0	     0			
MH0438_GL0184626	MH0438_GL0184626  [gene]  locus=scaffold141784_2:6566:7489:+ [Complete] codon-table.11	MH0438_GL0184626  [gene]  locus=scaffold141784_2:6566:7489:+ [Complete] codon-table.11		307		MH0438_GL0184626  [gene]  locus=scaffold141784_2:6566:7489:+ [Complete] codon-table.11		4.56	1.0000	0.9990	1	1	1	4	4	4	     0	     0	     0			
MH0441_GL0161345	MH0441_GL0161345  [gene]  locus=scaffold113549_1:4513:4845:- [Complete] codon-table.11	MH0441_GL0161345  [gene]  locus=scaffold113549_1:4513:4845:- [Complete] codon-table.11		110		MH0441_GL0161345  [gene]  locus=scaffold113549_1:4513:4845:- [Complete] codon-table.11		12.73	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0	5C(57.0214), 6C(57.0214)		
MH0442_GL0171854	MH0442_GL0171854  [gene]  locus=scaffold142164_1:518:2449:+ [Complete] codon-table.11	MH0442_GL0171854  [gene]  locus=scaffold142164_1:518:2449:+ [Complete] codon-table.11		643		MH0442_GL0171854  [gene]  locus=scaffold142164_1:518:2449:+ [Complete] codon-table.11		11.04	1.0000	0.9937	5	4	3	8	4	3	     0	     0	     0			
MH0445_GL0073145	MH0445_GL0073145  [gene]  locus=C1678367_1:1:543:- [Lack both ends] codon-table.11	MH0445_GL0073145  [gene]  locus=C1678367_1:1:543:- [Lack both ends] codon-table.11		181		MH0445_GL0073145  [gene]  locus=C1678367_1:1:543:- [Lack both ends] codon-table.11		38.12	1.0000	0.9990	4	1	3	6	1	4	     0	     0	     0	12M(15.9949), 1M(15.9949), 2C(57.0214)		
MH0446_GL0035937	MH0446_GL0035937  [gene]  locus=scaffold77213_1:2:967:- [Lack both ends] codon-table.11	MH0446_GL0035937  [gene]  locus=scaffold77213_1:2:967:- [Lack both ends] codon-table.11		322		MH0446_GL0035937  [gene]  locus=scaffold77213_1:2:967:- [Lack both ends] codon-table.11		4.04	1.0000	0.9990	1	1	1	5	5	5	     0	     0	     0			
MH0448_GL0107970	MH0448_GL0107970  [gene]  locus=scaffold112246_14:2396:3589:+ [Complete] codon-table.11	MH0448_GL0107970  [gene]  locus=scaffold112246_14:2396:3589:+ [Complete] codon-table.11		397		MH0448_GL0107970  [gene]  locus=scaffold112246_14:2396:3589:+ [Complete] codon-table.11		16.62	1.0000	0.9990	5	4	4	17	15	15	     0	     0	     0	4C(57.0214), 7M(15.9949), 8M(15.9949)		
MH0448_GL0122599	MH0448_GL0122599  [gene]  locus=scaffold79844_1:95:535:- [Lack 5'-end] codon-table.11	MH0448_GL0122599  [gene]  locus=scaffold79844_1:95:535:- [Lack 5'-end] codon-table.11		146		MH0448_GL0122599  [gene]  locus=scaffold79844_1:95:535:- [Lack 5'-end] codon-table.11		23.29	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
MH0448_GL0236255	MH0448_GL0236255  [gene]  locus=scaffold50985_2:85:972:+ [Complete] codon-table.11	MH0448_GL0236255  [gene]  locus=scaffold50985_2:85:972:+ [Complete] codon-table.11		295		MH0448_GL0236255  [gene]  locus=scaffold50985_2:85:972:+ [Complete] codon-table.11		6.10	1.0000	0.9990	1	1	1	2	2	2	     0	     0	     0			
MH0450_GL0212819	MH0450_GL0212819  [gene]  locus=scaffold51235_15:1324:2703:- [Complete] codon-table.11	MH0450_GL0212819  [gene]  locus=scaffold51235_15:1324:2703:- [Complete] codon-table.11		459		MH0450_GL0212819  [gene]  locus=scaffold51235_15:1324:2703:- [Complete] codon-table.11		10.46	1.0000	0.9990	3	1	2	6	4	5	     0	     0	     0	4C(57.0214)		
N013A_GL0045648	N013A_GL0045648  [gene]  locus=scaffold59469_1:5039:6394:+ [Complete] codon-table.11	N013A_GL0045648  [gene]  locus=scaffold59469_1:5039:6394:+ [Complete] codon-table.11		451		N013A_GL0045648  [gene]  locus=scaffold59469_1:5039:6394:+ [Complete] codon-table.11		2.22	1.0000	0.9990	1	1	1	5	5	5	     0	     0	     0	2M(15.9949), 4M(15.9949)		
N037A_GL0039670	N037A_GL0039670  [gene]  locus=scaffold64774_4:1589:2587:+ [Complete] codon-table.11	N037A_GL0039670  [gene]  locus=scaffold64774_4:1589:2587:+ [Complete] codon-table.11		332		N037A_GL0039670  [gene]  locus=scaffold64774_4:1589:2587:+ [Complete] codon-table.11		31.93	1.0000	0.9990	9	1	4	44	2	10	     0	     0	     0	1C(57.0214), 9C(57.0214)		
